,Train_loss,Train_acc,Valid_loss,Valid_acc
0,2.323334443569183,0.13375,2.2518680810928347,0.1875
1,2.21841641664505,0.2012,2.1849714279174806,0.2305
2,2.1543302297592164,0.222475,2.117817735671997,0.2416
3,2.082653486728668,0.25145,2.045554256439209,0.2601
4,2.0190727442502974,0.2703,1.9930633306503296,0.2762
5,1.9792841792106628,0.28915,1.9557793021202088,0.3015
6,1.9386300444602966,0.308975,1.9146807789802551,0.3154
7,1.9000472664833068,0.326425,1.8779188752174378,0.3301
8,1.8612290650606156,0.3424,1.8516345143318176,0.3303
9,1.8361931800842286,0.348975,1.8271960854530334,0.342
